year,price,mileage,zip,model
2016,18.95,27.958,"""16802""",Honda CR-V
2015,15.534,44.775,"""16802""",Honda CR-V
2018,25.6,28.639,"""16802""",Honda CR-V
2014,15.625,48.69,"""16802""",Honda CR-V
2015,17.995,51.54,"""16802""",Honda CR-V
2018,28.56,24.136,"""16802""",Honda CR-V
2018,21,46,"""16802""",Honda CR-V
2018,25.371,24.263,"""16802""",Honda CR-V
2018,25.999,13.963,"""16802""",Honda CR-V
2017,26.498,2.373,"""16802""",Honda CR-V
2014,13.492,83.554,"""16802""",Honda CR-V
2019,29.845,0.016,"""16802""",Honda CR-V
2014,15.495,32.916,"""16802""",Honda CR-V
2017,24.289,43.037,"""16802""",Honda CR-V
2012,12.9,104.494,"""16802""",Honda CR-V
2016,15.583,34.091,"""16802""",Honda CR-V
2015,13.488,98.364,"""16802""",Honda CR-V
2015,18.365,48.706,"""16802""",Honda CR-V
2011,12.895,75.236,"""16802""",Honda CR-V
2009,7.9,149.794,"""16802""",Honda CR-V
2011,13.995,65.121,"""16802""",Honda CR-V
2014,12.99,94.128,"""16802""",Honda CR-V
2010,6.899,144.608,"""16802""",Honda CR-V
2013,16.995,60.348,"""16802""",Honda CR-V
2017,18.553,80.875,"""16802""",Honda CR-V
2017,16.719,84.079,"""16802""",Honda CR-V
2016,19.978,15.393,"""16802""",Honda CR-V
2018,25.06,21.45,"""16802""",Honda CR-V
2016,19.826,25.931,"""16802""",Honda CR-V
2016,15.995,35.109,"""16802""",Honda CR-V
2015,15.491,68.806,"""16802""",Honda CR-V
2010,9.988,77.403,"""16802""",Honda CR-V
2016,21.9,17.291,"""16802""",Honda CR-V
2019,23.988,10.481,"""16802""",Honda CR-V
2016,17.999,30.328,"""16802""",Honda CR-V
2017,24.576,32.931,"""16802""",Honda CR-V
2017,25.989,8.107,"""16802""",Honda CR-V
2018,21.487,20.722,"""16802""",Honda CR-V
2016,19,58.677,"""16802""",Honda CR-V
2014,13.787,80.516,"""16802""",Honda CR-V
2016,15.993,32.47,"""16802""",Honda CR-V
