year,price,mileage,zip,model
2019,23.084,0.003,"""07640""",Honda CR-V
2015,17.583,67.595,"""07640""",Honda CR-V
2016,15.895,32.933,"""07640""",Honda CR-V
2016,14.795,48.926,"""07640""",Honda CR-V
2016,14.9,24.486,"""07640""",Honda CR-V
2018,18.595,28.439,"""07640""",Honda CR-V
2017,23.998,21.453,"""07640""",Honda CR-V
2017,22,24.754,"""07640""",Honda CR-V
2012,11.988,62.757,"""07640""",Honda CR-V
2015,16.535,37.61,"""07640""",Honda CR-V
2017,22.206,36.957,"""07640""",Honda CR-V
2014,12.69,84.22,"""07640""",Honda CR-V
2018,24.438,12.129,"""07640""",Honda CR-V
2016,19.295,22.791,"""07640""",Honda CR-V
2016,15.47,41.485,"""07640""",Honda CR-V
2017,18,35.237,"""07640""",Honda CR-V
2016,18.728,20.254,"""07640""",Honda CR-V
2014,11.798,83.264,"""07640""",Honda CR-V
2016,20.8,29.117,"""07640""",Honda CR-V
2017,24.777,25.351,"""07640""",Honda CR-V
2019,29.7,9.492,"""07640""",Honda CR-V
2016,19.888,44.109,"""07640""",Honda CR-V
2019,25.814,3.273,"""07640""",Honda CR-V
2018,25.9,16.449,"""07640""",Honda CR-V
2016,17.599,26.442,"""07640""",Honda CR-V
2016,15.784,41.438,"""07640""",Honda CR-V
2016,17.5,58.64,"""07640""",Honda CR-V
2017,22.594,40.993,"""07640""",Honda CR-V
2016,15.595,53.705,"""07640""",Honda CR-V
2017,18.512,34.479,"""07640""",Honda CR-V
2017,26.888,10.567,"""07640""",Honda CR-V
2017,22.78,28.403,"""07640""",Honda CR-V
2016,15.9,36.125,"""07640""",Honda CR-V
2017,19.341,22.991,"""07640""",Honda CR-V
2016,18.695,38.811,"""07640""",Honda CR-V
2016,14.495,33.076,"""07640""",Honda CR-V
2017,21.98,35.499,"""07640""",Honda CR-V
2015,16.795,65.156,"""07640""",Honda CR-V
2019,29.9,5.42,"""07640""",Honda CR-V
2016,19,31,"""07640""",Honda CR-V
2015,18.095,46.99,"""07640""",Honda CR-V
2015,18.98,34.235,"""07640""",Honda CR-V
2016,15.437,39.944,"""07640""",Honda CR-V
2017,18.888,47.77,"""07640""",Honda CR-V
2014,15.797,29.671,"""07640""",Honda CR-V
2016,20.5,44.65,"""07640""",Honda CR-V
2009,9.4,74.586,"""07640""",Honda CR-V
2016,18.6,47.405,"""07640""",Honda CR-V
2017,18.788,32.225,"""07640""",Honda CR-V
2019,25.328,0.516,"""07640""",Honda CR-V
2011,10.999,78.578,"""07640""",Honda CR-V
2016,16.9,14.356,"""07640""",Honda CR-V
2010,9.598,106.176,"""07640""",Honda CR-V
2015,19.901,27.181,"""07640""",Honda CR-V
2016,22.888,37.484,"""07640""",Honda CR-V
2015,18.995,30.494,"""07640""",Honda CR-V
2014,14.689,55.312,"""07640""",Honda CR-V
2011,8.188,127.596,"""07640""",Honda CR-V
2007,6.995,134.411,"""07640""",Honda CR-V
