year,price,mileage,zip,model
2018,31.5,28.396,"""16802""",Ford F150
2014,23,69.708,"""16802""",Ford F150
2013,26,59.618,"""16802""",Ford F150
2019,31.99,13.58,"""16802""",Ford F150
2016,23,99.805,"""16802""",Ford F150
2017,25.9,33.072,"""16802""",Ford F150
2016,25.499,71.811,"""16802""",Ford F150
2018,50.5,6.7,"""16802""",Ford F150
2006,9.995,119.617,"""16802""",Ford F150
2018,25,19.858,"""16802""",Ford F150
2015,18.888,90.468,"""16802""",Ford F150
2013,25.7,30.851,"""16802""",Ford F150
2019,36.8,0.008,"""16802""",Ford F150
2017,29.487,18.397,"""16802""",Ford F150
2013,15.5,171.2,"""16802""",Ford F150
2018,37,18.159,"""16802""",Ford F150
2019,61.9,10.297,"""16802""",Ford F150
2016,31,14.129,"""16802""",Ford F150
2013,24.989,50.643,"""16802""",Ford F150
2017,25.995,29.658,"""16802""",Ford F150
2016,29,23.595,"""16802""",Ford F150
2010,17.998,92,"""16802""",Ford F150
2016,29.988,4.872,"""16802""",Ford F150
2013,17.6,60.304,"""16802""",Ford F150
2008,10.995,112.332,"""16802""",Ford F150
2016,23,17.321,"""16802""",Ford F150
2019,38.9,18.317,"""16802""",Ford F150
2014,27.45,39.219,"""16802""",Ford F150
2018,29.9,23.821,"""16802""",Ford F150
2019,28.5,29.839,"""16802""",Ford F150
2018,27.885,8.569,"""16802""",Ford F150
2017,29,40.7,"""16802""",Ford F150
2016,28.9,29.384,"""16802""",Ford F150
2017,27.5,27.743,"""16802""",Ford F150
2018,28.5,21.682,"""16802""",Ford F150
2019,62.9,2.413,"""16802""",Ford F150
2018,33.45,35.145,"""16802""",Ford F150
2012,16,90.513,"""16802""",Ford F150
2016,27.287,35.354,"""16802""",Ford F150
2016,27.9,60.982,"""16802""",Ford F150
2019,32.95,40.348,"""16802""",Ford F150
2018,47.5,13,"""16802""",Ford F150
2019,42.9,24.225,"""16802""",Ford F150
2016,22.988,78.225,"""16802""",Ford F150
2019,33.98,10.946,"""16802""",Ford F150
2018,36.5,25,"""16802""",Ford F150
2018,31.994,16.254,"""16802""",Ford F150
2014,22.988,73.727,"""16802""",Ford F150
2016,29,45.008,"""16802""",Ford F150
2014,25,43.135,"""16802""",Ford F150
2019,40.96,13.265,"""16802""",Ford F150
2011,15.9,103.829,"""16802""",Ford F150
2016,29.604,39.685,"""16802""",Ford F150
2013,17,75.499,"""16802""",Ford F150
2018,39.622,19.469,"""16802""",Ford F150
2016,29.999,39.949,"""16802""",Ford F150
2017,30,16.593,"""16802""",Ford F150
2014,22.437,67.112,"""16802""",Ford F150
