year,price,mileage,zip,model
2017,17.998,16.255,"""07640""",Toyota Camry
2019,18.9,21.023,"""07640""",Toyota Camry
2017,18.995,6.35,"""07640""",Toyota Camry
2014,11.999,46.824,"""07640""",Toyota Camry
2018,25.7,25.831,"""07640""",Toyota Camry
2017,16.8,43.868,"""07640""",Toyota Camry
2018,17.15,35.114,"""07640""",Toyota Camry
2019,21.988,4.105,"""07640""",Toyota Camry
2017,16.495,41.154,"""07640""",Toyota Camry
2017,14.987,37.837,"""07640""",Toyota Camry
2017,17.587,14.33,"""07640""",Toyota Camry
2018,25.022,28.326,"""07640""",Toyota Camry
2017,14.495,47.795,"""07640""",Toyota Camry
2008,6.895,89.839,"""07640""",Toyota Camry
2017,16.999,17.025,"""07640""",Toyota Camry
2017,16.495,48.66,"""07640""",Toyota Camry
2015,9.5,151.538,"""07640""",Toyota Camry
2017,18.888,12.226,"""07640""",Toyota Camry
2018,15.825,39.286,"""07640""",Toyota Camry
2017,14.495,50.162,"""07640""",Toyota Camry
2014,13.748,33.955,"""07640""",Toyota Camry
2017,16.9,25.452,"""07640""",Toyota Camry
2019,18.85,20.434,"""07640""",Toyota Camry
2018,19.999,45.243,"""07640""",Toyota Camry
2008,6.5,107.644,"""07640""",Toyota Camry
2016,11.998,64.586,"""07640""",Toyota Camry
2017,15.699,36.359,"""07640""",Toyota Camry
2017,15.1,32.914,"""07640""",Toyota Camry
2017,17.977,29.907,"""07640""",Toyota Camry
2016,16,39.134,"""07640""",Toyota Camry
2018,17.35,37.527,"""07640""",Toyota Camry
2017,17.965,24.101,"""07640""",Toyota Camry
2017,14.795,36.28,"""07640""",Toyota Camry
2018,19.288,37.767,"""07640""",Toyota Camry
2019,19.9,15.514,"""07640""",Toyota Camry
2009,7.7,79.491,"""07640""",Toyota Camry
2016,15.295,15.162,"""07640""",Toyota Camry
2014,9.982,50.32,"""07640""",Toyota Camry
2019,18.5,24.105,"""07640""",Toyota Camry
2017,15.7,33.434,"""07640""",Toyota Camry
2011,9.444,61.236,"""07640""",Toyota Camry
2018,16.6,42.224,"""07640""",Toyota Camry
2017,17.087,16.436,"""07640""",Toyota Camry
2017,15,40.272,"""07640""",Toyota Camry
2017,13,43.773,"""07640""",Toyota Camry
2019,18.895,21.672,"""07640""",Toyota Camry
2014,8.599,123.143,"""07640""",Toyota Camry
2019,19.9,13.629,"""07640""",Toyota Camry
2017,16.995,40.146,"""07640""",Toyota Camry
2018,23.195,26.87,"""07640""",Toyota Camry
2017,18.877,20.863,"""07640""",Toyota Camry
2016,14.588,42.363,"""07640""",Toyota Camry
2018,18.6,11.208,"""07640""",Toyota Camry
2016,12.494,55.381,"""07640""",Toyota Camry
2015,12.7,57.438,"""07640""",Toyota Camry
2019,22.988,4.035,"""07640""",Toyota Camry
2019,18.9,24.179,"""07640""",Toyota Camry
2017,16.689,26.999,"""07640""",Toyota Camry
2015,15.823,61.345,"""07640""",Toyota Camry
2017,16.908,28.397,"""07640""",Toyota Camry
2017,15.617,27.919,"""07640""",Toyota Camry
2017,18.995,15.505,"""07640""",Toyota Camry
2019,16.598,43.759,"""07640""",Toyota Camry
2017,16.85,20.825,"""07640""",Toyota Camry
2018,27.43,0.358,"""07640""",Toyota Camry
2018,15.375,42.688,"""07640""",Toyota Camry
2017,15.767,23.59,"""07640""",Toyota Camry
2018,14.095,39.601,"""07640""",Toyota Camry
2017,15.888,47.568,"""07640""",Toyota Camry
2017,17.495,5.482,"""07640""",Toyota Camry
2017,15.995,15.034,"""07640""",Toyota Camry
2018,15.077,40.078,"""07640""",Toyota Camry
2017,18.15,29.552,"""07640""",Toyota Camry
2014,11.999,84.032,"""07640""",Toyota Camry
2017,16.12,23.034,"""07640""",Toyota Camry
2012,10,92.996,"""07640""",Toyota Camry
2013,5.995,98.152,"""07640""",Toyota Camry
2019,18.888,11.306,"""07640""",Toyota Camry
2017,17.887,20.614,"""07640""",Toyota Camry
2009,6.692,107.474,"""07640""",Toyota Camry
2012,7.46,105.139,"""07640""",Toyota Camry
2016,15,50.905,"""07640""",Toyota Camry
2019,27,9.56,"""07640""",Toyota Camry
2015,14.995,63.165,"""07640""",Toyota Camry
2007,3.495,187.254,"""07640""",Toyota Camry
2018,17.39,35.783,"""07640""",Toyota Camry
2016,14.9,46.7,"""07640""",Toyota Camry
2016,16.277,19.976,"""07640""",Toyota Camry
2017,15.415,33.508,"""07640""",Toyota Camry
