year,price,mileage,zip,model
2019,28.999,12.65,"""07640""",Ford F150
2017,37.595,22.88,"""07640""",Ford F150
2015,28.7,47.57,"""07640""",Ford F150
2018,29.888,26.437,"""07640""",Ford F150
2016,32.395,26.783,"""07640""",Ford F150
2017,31.53,17.859,"""07640""",Ford F150
2016,28.21,29.723,"""07640""",Ford F150
2015,27.495,45.388,"""07640""",Ford F150
2018,43.496,19.077,"""07640""",Ford F150
2017,32.991,25.325,"""07640""",Ford F150
2015,22.99,43.096,"""07640""",Ford F150
2017,27.495,28.18,"""07640""",Ford F150
2018,28.989,19.985,"""07640""",Ford F150
2019,38,13.088,"""07640""",Ford F150
2014,21.63,66.517,"""07640""",Ford F150
2016,24.9,39.718,"""07640""",Ford F150
2016,30.586,27.388,"""07640""",Ford F150
2017,28.457,37.517,"""07640""",Ford F150
2012,28.995,75.864,"""07640""",Ford F150
2016,29.736,29.328,"""07640""",Ford F150
2013,20,83.271,"""07640""",Ford F150
2014,23.495,58.631,"""07640""",Ford F150
2016,33.99,31.462,"""07640""",Ford F150
2019,31.997,14.605,"""07640""",Ford F150
2017,30.3,22.107,"""07640""",Ford F150
2019,31.995,16.274,"""07640""",Ford F150
2017,24.19,24.603,"""07640""",Ford F150
2017,32.995,28.453,"""07640""",Ford F150
2017,29.988,22.194,"""07640""",Ford F150
2018,30.55,22.56,"""07640""",Ford F150
2018,33.99,7.457,"""07640""",Ford F150
2016,25.5,42.569,"""07640""",Ford F150
2014,20.88,74.944,"""07640""",Ford F150
2015,29.19,45.418,"""07640""",Ford F150
2016,25.9,22.324,"""07640""",Ford F150
2017,32.488,31.405,"""07640""",Ford F150
2019,31.248,14.374,"""07640""",Ford F150
2017,29,31.591,"""07640""",Ford F150
2013,29.5,27.621,"""07640""",Ford F150
2013,20.99,59.628,"""07640""",Ford F150
2018,37.363,25.892,"""07640""",Ford F150
2018,33.05,26.145,"""07640""",Ford F150
2019,44.486,14.412,"""07640""",Ford F150
2018,38.888,19.028,"""07640""",Ford F150
2017,30.835,29.26,"""07640""",Ford F150
2016,28.899,30.652,"""07640""",Ford F150
2013,24.98,62.229,"""07640""",Ford F150
2017,26.5,28.606,"""07640""",Ford F150
2014,21.988,57.506,"""07640""",Ford F150
2010,13,150.661,"""07640""",Ford F150
2017,33.49,25.805,"""07640""",Ford F150
2018,30.418,21.775,"""07640""",Ford F150
2016,34.43,23.76,"""07640""",Ford F150
2016,35.5,36.543,"""07640""",Ford F150
2017,30.89,35.21,"""07640""",Ford F150
2018,33.96,23.945,"""07640""",Ford F150
2017,29.495,24.822,"""07640""",Ford F150
2015,29,47.394,"""07640""",Ford F150
2017,27.495,28.914,"""07640""",Ford F150
2018,24.07,19.691,"""07640""",Ford F150
2016,25.495,36.475,"""07640""",Ford F150
2016,25,27.552,"""07640""",Ford F150
2018,28.655,28.607,"""07640""",Ford F150
2013,19.505,69.494,"""07640""",Ford F150
2017,32.49,20.599,"""07640""",Ford F150
2017,19.995,13.064,"""07640""",Ford F150
2018,29.897,11.357,"""07640""",Ford F150
2015,26.1,58.038,"""07640""",Ford F150
2017,30.5,28.597,"""07640""",Ford F150
2017,32.191,25.123,"""07640""",Ford F150
2016,30.995,33.659,"""07640""",Ford F150
2016,38,22.804,"""07640""",Ford F150
2016,28.95,35.872,"""07640""",Ford F150
2016,27.919,35.872,"""07640""",Ford F150
2016,28.21,23.983,"""07640""",Ford F150
2017,33.313,16.336,"""07640""",Ford F150
2014,26.969,53.162,"""07640""",Ford F150
2016,27.944,71.774,"""07640""",Ford F150
2019,31.509,13.732,"""07640""",Ford F150
2016,28.994,32.708,"""07640""",Ford F150
2017,35.995,26.35,"""07640""",Ford F150
2017,28,32.316,"""07640""",Ford F150
2011,14.555,106.893,"""07640""",Ford F150
2017,28.75,42.618,"""07640""",Ford F150
2018,44.168,26.015,"""07640""",Ford F150
2017,42.695,27.12,"""07640""",Ford F150
2019,28.199,14.549,"""07640""",Ford F150
2017,31.579,25.123,"""07640""",Ford F150
2016,25,52.864,"""07640""",Ford F150
2017,32.994,10.375,"""07640""",Ford F150
2010,12.995,78.9,"""07640""",Ford F150
2019,40.988,19.791,"""07640""",Ford F150
2015,24.999,70.345,"""07640""",Ford F150
2014,25.9,58.955,"""07640""",Ford F150
2017,27.876,44.263,"""07640""",Ford F150
2016,28.5,39.354,"""07640""",Ford F150
2016,35.995,41.136,"""07640""",Ford F150
2018,34.995,18.45,"""07640""",Ford F150
2016,28.995,27.535,"""07640""",Ford F150
