year,price,mileage,zip,model
2017,15.998,58.619,"""16802""",Toyota Camry
2018,17.95,43.221,"""16802""",Toyota Camry
2017,19.089,34.7,"""16802""",Toyota Camry
2017,13.986,31.185,"""16802""",Toyota Camry
2009,7.591,124.885,"""16802""",Toyota Camry
2019,21.869,13.998,"""16802""",Toyota Camry
2017,10.7,138.035,"""16802""",Toyota Camry
2017,20.978,19.088,"""16802""",Toyota Camry
2017,17.276,34.124,"""16802""",Toyota Camry
2016,17.484,21.015,"""16802""",Toyota Camry
2017,16.444,31.516,"""16802""",Toyota Camry
2017,18.49,34.608,"""16802""",Toyota Camry
2013,15.47,77.752,"""16802""",Toyota Camry
2016,18.757,7.951,"""16802""",Toyota Camry
2017,20.884,38.14,"""16802""",Toyota Camry
2017,19.997,40.584,"""16802""",Toyota Camry
2018,22.017,19.08,"""16802""",Toyota Camry
2017,14.2,9,"""16802""",Toyota Camry
2008,5.295,166.344,"""16802""",Toyota Camry
2012,9.75,89.879,"""16802""",Toyota Camry
2007,3.89,166.767,"""16802""",Toyota Camry
2017,0,65.91,"""16802""",Toyota Camry
2016,14.986,66.139,"""16802""",Toyota Camry
2017,19.198,6.883,"""16802""",Toyota Camry
2007,7.987,43.291,"""16802""",Toyota Camry
2018,29.188,14.84,"""16802""",Toyota Camry
2017,17.376,27.488,"""16802""",Toyota Camry
2018,19.995,42.401,"""16802""",Toyota Camry
2010,9.587,77.972,"""16802""",Toyota Camry
2017,15.995,37.278,"""16802""",Toyota Camry
2019,17.899,28.34,"""16802""",Toyota Camry
2005,6.998,125.357,"""16802""",Toyota Camry
2018,17,21.08,"""16802""",Toyota Camry
2018,19.83,47.239,"""16802""",Toyota Camry
2019,23,8.39,"""16802""",Toyota Camry
2014,11,85.205,"""16802""",Toyota Camry
2018,25.4,5.771,"""16802""",Toyota Camry
2009,7.997,70.55,"""16802""",Toyota Camry
2017,20.749,19.982,"""16802""",Toyota Camry
2018,15.7,41.819,"""16802""",Toyota Camry
2017,19,34.958,"""16802""",Toyota Camry
2012,10.5,69.342,"""16802""",Toyota Camry
2016,12.995,76.65,"""16802""",Toyota Camry
2017,13.5,29.018,"""16802""",Toyota Camry
2019,29.993,15.579,"""16802""",Toyota Camry
2017,20.886,20.219,"""16802""",Toyota Camry
2009,8.498,104.639,"""16802""",Toyota Camry
2013,9.995,93.89,"""16802""",Toyota Camry
2012,10.5,106,"""16802""",Toyota Camry
2018,19.795,34.806,"""16802""",Toyota Camry
2018,17.936,30.13,"""16802""",Toyota Camry
2017,17.498,26.456,"""16802""",Toyota Camry
2012,11.9,126.686,"""16802""",Toyota Camry
2011,6,117.999,"""16802""",Toyota Camry
2007,5.99,99.903,"""16802""",Toyota Camry
2017,25.773,19.891,"""16802""",Toyota Camry
2011,7.5,106.102,"""16802""",Toyota Camry
2006,5.587,103.594,"""16802""",Toyota Camry
2017,17.99,21.032,"""16802""",Toyota Camry
2017,17.428,27.851,"""16802""",Toyota Camry
2018,18.5,30.184,"""16802""",Toyota Camry
2007,6.597,86.693,"""16802""",Toyota Camry
2017,15.475,43.397,"""16802""",Toyota Camry
2017,12.997,56.631,"""16802""",Toyota Camry
2013,9.499,104.693,"""16802""",Toyota Camry
2015,11.5,32,"""16802""",Toyota Camry
2007,5.995,120.625,"""16802""",Toyota Camry
2017,15.9,24.398,"""16802""",Toyota Camry
2017,16.586,34.813,"""16802""",Toyota Camry
2019,21.499,8.179,"""16802""",Toyota Camry
2017,13.5,26.575,"""16802""",Toyota Camry
2017,16.986,19.384,"""16802""",Toyota Camry
2005,7.498,43.4,"""16802""",Toyota Camry
2017,19.964,20.869,"""16802""",Toyota Camry
2017,18.79,34.166,"""16802""",Toyota Camry
2017,15.187,36.473,"""16802""",Toyota Camry
2017,22.389,9.434,"""16802""",Toyota Camry
2008,7.677,105.05,"""16802""",Toyota Camry
